category_id,category_name,category_type,is_active,created_date,modified_date
1,Rent,Expense,1,2020-03-12,2021-08-16
2,Transport,Expense,1,2020-08-07,2021-03-15
3,Gift,Income,0,2019-10-18,2021-07-04
4,Salary,Income,1,2020-06-03,2021-05-12
5,Salary,Income,0,2020-01-15,2020-11-20
6,Bonus,Income,0,2020-04-30,2021-01-25
7,Salary,Income,0,2020-07-24,2021-01-16
8,Bonus,Income,0,2020-07-23,2020-12-21
9,Bonus,Income,1,2020-04-07,2021-04-10
10,Bonus,Income,0,2019-12-16,2020-11-24
11,Food,Expense,0,2019-11-17,2021-06-22
12,Rent,Expense,1,2020-08-13,2021-03-08
13,Rent,Expense,1,2019-11-22,2021-03-25
14,Rent,Expense,1,2020-06-10,2021-03-09
15,Salary,Income,1,2020-09-07,2021-04-26
16,Fuel,Expense,0,2020-02-03,2021-01-31
17,Rent,Expense,0,2019-10-13,2021-01-21
18,Food,Expense,0,2020-07-31,2020-12-18
19,Rent,Expense,0,2019-11-10,2021-01-07
20,Fuel,Expense,0,2020-07-24,2021-01-02
21,Gift,Income,0,2020-01-18,2020-12-10
22,Salary,Income,0,2020-06-30,2021-03-28
23,Rent,Expense,1,2020-06-22,2021-05-06
24,Gift,Income,1,2020-02-06,2021-03-12
25,Salary,Income,1,2019-10-23,2021-05-13
26,Gift,Income,0,2020-08-28,2021-07-15
27,Bonus,Income,1,2019-10-24,2021-04-02
28,Food,Expense,0,2020-09-01,2020-12-30
29,Transport,Expense,0,2020-04-06,2020-12-05
30,Transport,Expense,1,2019-09-19,2020-11-24
31,Fuel,Expense,0,2019-11-13,2021-05-01
32,Rent,Expense,0,2020-09-16,2021-06-12
33,Rent,Expense,1,2020-05-09,2021-06-06
34,Fuel,Expense,0,2020-01-30,2021-04-23
35,TV,Expense,1,2020-04-15,2020-11-15
36,Rent,Expense,1,2020-05-24,2021-08-08
37,TV,Expense,0,2020-04-19,2021-02-19
38,Bonus,Income,0,2020-06-27,2021-06-21
39,Salary,Income,0,2020-02-08,2020-12-16
40,Transport,Expense,0,2019-09-29,2021-04-17
41,Fuel,Expense,0,2019-10-04,2021-01-01
42,Food,Expense,1,2020-07-22,2021-01-01
43,Entertainment,Expense,0,2020-06-24,2021-03-13
44,Bonus,Income,1,2019-12-22,2020-11-18
45,Rent,Expense,1,2019-09-21,2020-12-12
46,Food,Expense,1,2020-07-06,2021-07-22
47,Fuel,Expense,0,2020-09-09,2021-04-25
48,Gift,Income,1,2019-11-27,2020-11-03
49,Salary,Income,0,2019-12-01,2020-10-20
50,TV,Expense,0,2020-03-05,2021-04-25
51,Transport,Expense,0,2020-03-03,2021-05-02
52,Rent,Expense,1,2019-10-30,2021-05-05
53,Fuel,Expense,0,2020-04-14,2020-11-12
54,Rent,Expense,1,2020-03-18,2021-03-12
55,Transport,Expense,0,2020-01-29,2020-10-24
56,Gift,Income,0,2019-12-03,2021-03-20
57,Transport,Expense,0,2020-09-03,2020-10-20
58,TV,Expense,1,2019-12-13,2021-06-24
59,TV,Expense,1,2020-08-09,2021-06-03
60,Transport,Expense,0,2020-06-25,2021-07-25
61,TV,Expense,0,2020-06-10,2021-01-17
62,Food,Expense,1,2020-08-29,2021-08-03
63,Bonus,Income,1,2020-06-15,2021-03-08
64,Entertainment,Expense,0,2019-10-19,2021-01-04
65,Gift,Income,1,2020-01-14,2020-11-12
66,Transport,Expense,1,2019-10-06,2020-10-31
67,Salary,Income,0,2020-04-27,2020-11-16
68,Bonus,Income,0,2020-05-07,2021-03-16
69,Rent,Expense,0,2020-07-05,2021-07-03
70,Gift,Income,1,2020-08-24,2021-04-14
71,TV,Expense,0,2020-06-07,2021-07-23
72,Bonus,Income,0,2020-08-28,2021-07-23
73,TV,Expense,0,2020-03-08,2021-04-15
74,Fuel,Expense,0,2020-04-25,2021-02-24
75,Rent,Expense,1,2020-05-05,2021-02-05
76,Rent,Expense,1,2020-09-12,2021-06-20
77,Rent,Expense,1,2019-11-22,2021-04-07
78,Rent,Expense,0,2020-04-25,2020-11-09
79,Entertainment,Expense,0,2020-09-17,2021-04-30
80,TV,Expense,1,2019-10-08,2021-06-08
81,TV,Expense,0,2020-08-31,2020-10-31
82,Gift,Income,0,2020-08-30,2021-05-25
83,Gift,Income,0,2020-07-08,2020-12-29
84,Fuel,Expense,1,2020-05-10,2021-02-12
85,Rent,Expense,1,2020-02-15,2021-01-31
86,Food,Expense,0,2020-08-05,2021-08-18
87,TV,Expense,1,2020-08-19,2021-06-29
88,Bonus,Income,1,2020-07-12,2021-05-07
89,Gift,Income,0,2020-08-03,2021-08-27
90,Bonus,Income,1,2019-12-17,2021-09-15
91,Bonus,Income,1,2020-06-13,2021-01-06
92,Food,Expense,0,2020-08-15,2021-08-16
93,Entertainment,Expense,1,2019-12-31,2020-11-18
94,TV,Expense,0,2019-11-21,2021-03-21
95,Salary,Income,1,2020-09-17,2021-08-31
96,Fuel,Expense,0,2020-03-18,2021-05-31
97,Fuel,Expense,0,2020-05-07,2021-06-28
98,Gift,Income,1,2020-09-17,2021-07-03
99,Rent,Expense,1,2019-11-29,2021-06-23
100,Salary,Income,0,2019-12-07,2020-12-10
